billing_month,season,avg_temperature_c,household_size,working_days,ownership_status,water_liter,electricity_kwh,gas_m3,energy_efficiency_rating,water_rate,electricity_rate,gas_rate
2,Winter,7.9,5,26.0,Owned,17921.8,680.34,187.23,B,0.0012,0.2,0.07
12,Winter,14.5,6,28.0,Rented,16011.1,869.01,255.26,A,0.0015,0.14,0.08
7,Summer,29.1,5,27.0,Owned,17962.3,1117.43,104.44,B,0.0013,0.13,0.09
2,Winter,12.2,4,25.0,Rented,13052.2,617.53,145.18,B,0.0013,0.14,0.08
2,Winter,7.8,4,24.0,Rented,11240.7,705.45,171.92,C,0.0019,0.12,0.09
8,Summer,28.1,2,27.0,Rented,5955.5,181.49,38.66,B,0.0012,0.17,0.07
12,Winter,8.0,4,24.0,Rented,12433.9,811.16,186.83,C,0.0019,0.19,0.05
6,Summer,26.8,1,24.0,Owned,3865.9,264.3,18.97,B,0.0018,0.19,0.06
6,Summer,29.9,4,21.0,Rented,11309.7,776.03,85.13,D,0.0013,0.14,0.06
1,Winter,9.0,6,23.0,Rented,17379.3,1083.93,247.04,D,0.0011,0.14,0.09
2,Winter,9.5,6,28.0,Owned,21115.3,874.73,271.98,A,0.0015,0.17,0.07
12,Winter,10.6,3,20.0,Rented,9357.4,317.51,112.79,B,0.0016,0.18,0.06
2,Winter,12.6,6,25.0,Rented,18148.0,769.54,249.53,A,0.0016,0.13,0.06
12,Winter,14.4,5,26.0,Owned,16691.8,568.33,222.5,D,0.001,0.13,0.08
2,Winter,7.7,3,22.0,Rented,9778.9,412.22,111.41,B,0.0019,0.15,0.06
8,Summer,30.7,3,28.0,Rented,8934.3,337.74,63.91,B,0.0013,0.18,0.09
12,Winter,11.9,3,25.0,Rented,8183.0,492.06,119.17,D,0.0013,0.15,0.08
2,Winter,7.6,6,26.0,Rented,14392.2,873.09,128.03,D,0.0019,0.14,0.08
7,Summer,29.9,2,23.0,Owned,6264.3,236.79,43.57,B,0.0016,0.19,0.09
2,Winter,10.2,5,22.0,Rented,12336.1,797.44,142.99,B,0.0014,0.17,0.08
8,Summer,24.6,3,23.0,Owned,12035.6,643.06,69.07,E,0.0019,0.13,0.08
7,Summer,29.2,2,21.0,Rented,5374.3,234.09,39.26,B,0.0019,0.18,0.07
1,Winter,5.4,5,22.0,Owned,15665.6,712.6,212.22,D,0.0016,0.13,0.09
8,Summer,24.9,1,23.0,Rented,3083.8,96.62,15.4,A,0.0018,0.13,0.07
6,Summer,26.7,2,24.0,Rented,5656.7,380.44,37.77,C,0.0011,0.17,0.06
12,Winter,9.7,5,27.0,Owned,14199.1,549.49,182.76,A,0.002,0.18,0.08
6,Summer,29.0,2,28.0,Rented,6352.6,237.17,50.2,A,0.0013,0.16,0.07
6,Summer,22.9,2,23.0,Rented,5254.5,374.34,43.64,B,0.0019,0.15,0.1
6,Summer,27.3,1,22.0,Rented,3353.2,188.67,20.04,A,0.0011,0.19,0.07
2,Winter,13.1,1,23.0,Owned,3276.9,149.22,37.92,D,0.0019,0.14,0.08
12,Winter,6.9,3,26.0,Owned,10734.6,417.52,133.19,A,0.0013,0.12,0.07
7,Summer,30.1,5,20.0,Owned,17644.0,605.32,115.21,A,0.001,0.14,0.07
7,Summer,29.5,6,27.0,Rented,19039.6,1457.32,97.02,C,0.0017,0.18,0.09
2,Winter,11.0,6,27.0,Rented,20788.1,976.49,204.98,D,0.001,0.18,0.09
12,Winter,10.1,6,23.0,Rented,17049.6,865.41,194.65,C,0.0015,0.19,0.07
6,Summer,27.4,2,20.0,Rented,6084.1,332.58,41.62,A,0.0019,0.17,0.08
1,Winter,8.4,1,24.0,Rented,3521.1,175.27,44.73,A,0.002,0.2,0.06
7,Summer,30.1,1,22.0,Rented,2968.2,159.33,19.71,B,0.0016,0.16,0.05
2,Winter,14.3,1,26.0,Rented,2966.0,189.41,42.07,B,0.0012,0.15,0.07
7,Summer,26.7,1,28.0,Rented,3219.3,265.28,20.05,D,0.0012,0.2,0.06
8,Summer,26.5,3,28.0,Rented,6762.3,479.09,53.94,B,0.0012,0.13,0.08
1,Winter,11.0,4,21.0,Owned,11137.0,424.39,162.92,B,0.0019,0.13,0.06
12,Winter,7.6,1,24.0,Rented,2828.7,147.43,34.46,A,0.0014,0.17,0.1
12,Winter,8.5,5,25.0,Rented,14129.2,806.54,185.51,C,0.0012,0.16,0.09
1,Winter,10.8,1,27.0,Rented,3015.3,201.57,38.58,B,0.0018,0.13,0.06
12,Winter,13.5,6,25.0,Rented,15587.8,1353.9,269.66,E,0.0018,0.14,0.05
2,Winter,11.3,4,21.0,Rented,11149.0,720.27,188.78,B,0.0017,0.16,0.05
2,Winter,12.0,4,28.0,Rented,13604.7,627.35,159.52,B,0.0011,0.16,0.05
6,Summer,27.2,5,24.0,Rented,14980.5,968.98,119.9,A,0.0011,0.16,0.07
12,Winter,13.4,2,25.0,Rented,5808.1,186.51,75.88,B,0.0016,0.18,0.07
2,Winter,11.7,4,24.0,Rented,11613.9,509.01,181.75,A,0.0016,0.14,0.05
6,Summer,27.2,3,27.0,Rented,9293.8,593.75,61.01,B,0.002,0.15,0.07
1,Winter,4.3,4,28.0,Rented,11422.9,157.73,158.03,A,0.002,0.14,0.08
8,Summer,26.0,5,23.0,Rented,17789.5,562.17,109.13,B,0.0014,0.18,0.08
6,Summer,31.1,2,26.0,Rented,5392.6,353.75,40.45,C,0.0011,0.17,0.09
2,Winter,11.5,2,28.0,Rented,5516.0,401.64,83.23,B,0.0012,0.13,0.09
6,Summer,23.6,5,24.0,Rented,15122.3,875.26,103.76,C,0.001,0.13,0.09
7,Summer,30.5,5,22.0,Rented,13401.8,818.27,117.57,C,0.0017,0.18,0.06
7,Summer,28.3,2,18.0,Rented,6872.3,411.43,44.33,C,0.0013,0.16,0.1
12,Winter,13.9,3,25.0,Rented,8791.0,423.67,85.06,B,0.0016,0.18,0.07
7,Summer,28.3,1,27.0,Rented,2949.4,155.35,21.14,A,0.0012,0.19,0.09
12,Winter,7.5,6,25.0,Rented,23203.1,472.34,215.84,D,0.0019,0.14,0.09
12,Winter,8.7,3,27.0,Owned,12103.5,532.1,134.75,A,0.0016,0.16,0.06
1,Winter,8.6,5,21.0,Rented,17339.3,385.39,199.13,B,0.0015,0.19,0.07
2,Winter,11.0,6,27.0,Owned,20262.0,1221.22,263.45,D,0.0014,0.12,0.07
8,Summer,27.7,3,25.0,Rented,9690.7,639.58,61.76,A,0.0013,0.17,0.09
8,Summer,29.0,6,22.0,Rented,17532.2,1076.11,110.13,D,0.002,0.12,0.09
2,Winter,13.0,1,19.0,Rented,3175.0,130.02,42.33,C,0.0012,0.15,0.09
8,Summer,28.1,5,27.0,Rented,16115.9,794.18,96.35,C,0.001,0.18,0.07
8,Summer,27.3,1,22.0,Rented,2966.8,152.55,18.86,D,0.0014,0.19,0.1
6,Summer,24.0,1,25.0,Rented,2723.4,173.67,24.77,B,0.0013,0.14,0.1
6,Summer,27.5,6,20.0,Rented,20761.6,742.41,116.04,B,0.002,0.14,0.08
1,Winter,10.4,6,27.0,Rented,18919.4,682.95,274.66,D,0.0018,0.12,0.05
7,Summer,26.0,5,28.0,Rented,15857.5,1019.65,111.78,A,0.0017,0.19,0.09
6,Summer,27.0,6,21.0,Owned,18657.3,1346.03,112.08,C,0.0011,0.19,0.06
12,Winter,11.5,4,22.0,Rented,13137.7,560.99,140.33,B,0.0019,0.14,0.08
2,Winter,9.5,4,24.0,Owned,11675.0,512.65,176.0,A,0.0019,0.17,0.07
8,Summer,29.6,4,26.0,Rented,11690.3,692.1,101.54,B,0.0012,0.18,0.07
6,Summer,24.4,2,21.0,Owned,6067.8,381.39,37.22,A,0.0011,0.19,0.09
8,Summer,25.3,2,24.0,Owned,6715.6,388.67,45.84,A,0.0019,0.19,0.08
12,Winter,10.0,6,27.0,Rented,15852.1,1049.8,219.49,A,0.0018,0.19,0.07
7,Summer,31.1,5,24.0,Rented,15249.8,1010.11,102.43,E,0.0018,0.12,0.08
6,Summer,25.9,4,21.0,Rented,13059.9,603.25,85.82,B,0.0013,0.19,0.06
8,Summer,26.1,3,24.0,Rented,10076.4,387.62,65.95,A,0.0017,0.15,0.07
1,Winter,5.3,5,25.0,Rented,16885.8,906.25,221.06,A,0.0016,0.2,0.09
1,Winter,10.2,4,23.0,Rented,13017.4,696.93,140.5,D,0.0014,0.2,0.08
8,Summer,27.0,2,25.0,Owned,7112.6,468.85,47.21,C,0.0013,0.16,0.07
8,Summer,27.8,3,27.0,Rented,8710.8,580.11,66.29,A,0.0017,0.2,0.08
2,Winter,16.0,2,25.0,Owned,7849.9,302.26,54.75,A,0.0018,0.16,0.08
8,Summer,25.6,4,22.0,Owned,13506.9,712.52,71.3,C,0.0012,0.18,0.06
7,Summer,28.1,5,25.0,Rented,15040.7,501.6,108.2,C,0.0013,0.13,0.06
8,Summer,27.7,4,25.0,Rented,12056.6,612.56,87.76,A,0.0015,0.19,0.06
12,Winter,10.7,6,25.0,Rented,17875.2,736.77,259.36,B,0.0014,0.15,0.09
12,Winter,10.6,1,28.0,Rented,2836.6,212.16,37.39,D,0.0013,0.13,0.1
12,Winter,12.5,2,28.0,Owned,7624.5,239.74,81.91,C,0.0014,0.14,0.07
12,Winter,11.0,4,23.0,Rented,13008.7,441.04,145.38,A,0.0011,0.18,0.07
12,Winter,10.9,2,26.0,Rented,5278.8,319.62,78.94,B,0.0018,0.14,0.05
2,Winter,8.7,1,19.0,Rented,3492.9,143.19,37.28,B,0.0016,0.15,0.06
1,Winter,5.3,5,23.0,Rented,16248.2,647.09,226.06,E,0.0011,0.16,0.08
6,Summer,27.7,6,20.0,Rented,20550.1,1099.68,118.65,B,0.0013,0.14,0.09
6,Summer,26.0,4,25.0,Rented,13504.3,746.08,77.95,B,0.0019,0.15,0.07
1,Winter,7.9,1,23.0,Rented,3263.1,150.33,38.07,A,0.0015,0.13,0.09
6,Summer,28.4,6,26.0,Rented,17649.3,857.82,116.49,B,0.0018,0.17,0.06
7,Summer,31.6,4,18.0,Owned,13343.2,677.02,77.45,C,0.0017,0.13,0.07
8,Summer,33.0,4,24.0,Owned,13763.2,476.25,71.57,A,0.002,0.14,0.06
2,Winter,9.8,2,28.0,Owned,7585.5,235.51,82.45,B,0.0018,0.13,0.07
7,Summer,26.4,2,26.0,Owned,5417.8,424.91,41.72,A,0.0018,0.19,0.06
12,Winter,8.8,3,26.0,Rented,8832.1,732.15,30.57,D,0.0012,0.18,0.07
6,Summer,28.1,3,28.0,Rented,9679.6,668.78,52.37,D,0.0018,0.12,0.08
2,Winter,11.3,3,21.0,Owned,9364.7,406.77,120.09,B,0.0011,0.13,0.08
6,Summer,27.8,6,25.0,Owned,20553.5,1534.91,112.63,E,0.0011,0.17,0.07
1,Winter,9.1,4,27.0,Rented,11911.3,657.92,196.88,B,0.0017,0.18,0.06
2,Winter,9.5,3,25.0,Rented,10048.5,389.38,125.89,B,0.0019,0.13,0.07
1,Winter,8.1,3,27.0,Rented,8658.0,462.13,115.09,A,0.0011,0.19,0.09
2,Winter,10.6,3,26.0,Rented,10772.0,681.47,114.31,D,0.0018,0.14,0.09
2,Winter,10.3,5,26.0,Rented,13703.8,821.65,186.7,B,0.002,0.18,0.07
7,Summer,26.7,4,26.0,Owned,16809.4,824.22,86.79,B,0.0015,0.19,0.09
12,Winter,13.2,5,25.0,Rented,13611.3,632.01,169.01,A,0.0014,0.16,0.06
7,Summer,28.6,6,23.0,Rented,19750.8,1653.03,127.6,D,0.0014,0.18,0.05
8,Summer,30.3,6,24.0,Rented,18105.9,1145.4,138.14,D,0.0016,0.17,0.08
7,Summer,29.8,5,27.0,Rented,15450.2,1234.32,102.5,B,0.0015,0.16,0.1
2,Winter,10.5,5,26.0,Owned,16295.8,545.54,217.82,A,0.0018,0.19,0.09
1,Winter,11.1,3,26.0,Rented,10338.0,475.74,119.44,B,0.0017,0.17,0.07
12,Winter,9.6,5,26.0,Rented,15148.9,604.47,196.74,A,0.0018,0.13,0.08
6,Summer,27.4,3,27.0,Owned,8410.9,891.94,65.23,D,0.0018,0.12,0.06
1,Winter,8.6,4,25.0,Rented,12231.5,764.52,147.91,B,0.0017,0.14,0.08
1,Winter,8.8,6,27.0,Rented,17597.9,985.56,196.25,B,0.0011,0.12,0.08
2,Winter,12.8,3,28.0,Rented,9385.1,486.76,104.62,C,0.0016,0.13,0.09
1,Winter,10.0,6,24.0,Owned,21430.6,1148.99,190.22,D,0.0017,0.12,0.06
8,Summer,31.5,6,26.0,Rented,20536.3,838.65,113.65,A,0.001,0.17,0.06
12,Winter,9.3,6,25.0,Owned,21487.5,1135.14,224.09,D,0.0018,0.12,0.06
2,Winter,9.4,4,25.0,Rented,12310.9,520.94,197.13,B,0.0011,0.18,0.06
2,Winter,9.7,3,23.0,Rented,9574.3,515.3,136.66,D,0.0018,0.19,0.05
12,Winter,6.7,6,22.0,Rented,19645.9,1058.92,238.5,B,0.0015,0.19,0.1
12,Winter,6.4,5,23.0,Rented,12858.3,800.95,188.5,A,0.0015,0.13,0.08
1,Winter,7.0,5,19.0,Rented,16504.9,771.18,198.5,A,0.002,0.17,0.06
8,Summer,29.0,5,28.0,Rented,16475.2,801.28,93.77,B,0.001,0.15,0.08
7,Summer,29.7,2,21.0,Owned,6006.7,427.94,44.69,C,0.002,0.13,0.06
2,Winter,8.5,3,22.0,Rented,10771.2,210.83,135.01,A,0.0014,0.16,0.09
12,Winter,8.2,4,23.0,Owned,14384.2,853.55,156.87,B,0.0019,0.18,0.1
8,Summer,27.1,1,17.0,Rented,3003.6,209.57,20.94,D,0.0018,0.2,0.05
7,Summer,30.0,3,23.0,Rented,9041.4,382.35,64.13,A,0.0011,0.17,0.07
2,Winter,14.9,1,24.0,Rented,3422.6,130.06,37.69,B,0.001,0.14,0.07
1,Winter,7.5,2,25.0,Rented,6288.9,207.18,82.63,B,0.0014,0.19,0.1
12,Winter,11.6,1,24.0,Rented,2930.7,72.97,38.67,B,0.0016,0.19,0.07
2,Winter,12.2,5,24.0,Owned,16375.9,974.87,77.84,B,0.0012,0.18,0.07
2,Winter,9.8,1,25.0,Rented,2715.3,253.42,20.03,D,0.0018,0.2,0.09
12,Winter,10.2,4,22.0,Rented,9853.4,734.42,149.3,B,0.0015,0.17,0.1
7,Summer,26.6,5,24.0,Rented,17739.4,1292.75,95.01,D,0.0015,0.18,0.1
6,Summer,27.2,4,28.0,Rented,13941.7,344.85,80.15,C,0.0019,0.19,0.08
12,Winter,12.1,6,23.0,Rented,17691.7,1319.56,194.08,C,0.0016,0.18,0.08
2,Winter,8.2,6,27.0,Rented,21354.2,1113.99,237.11,B,0.0013,0.14,0.07
1,Winter,8.7,6,20.0,Rented,14552.9,1309.04,231.64,C,0.0016,0.16,0.05
2,Winter,12.2,3,22.0,Owned,10718.0,584.66,128.34,C,0.0015,0.19,0.05
2,Winter,11.5,3,20.0,Rented,11334.3,447.76,138.18,A,0.0016,0.15,0.07
7,Summer,28.8,5,27.0,Rented,16587.3,1120.07,103.65,D,0.0011,0.16,0.05
8,Summer,29.4,4,18.0,Rented,12386.1,748.24,72.94,B,0.0018,0.17,0.09
8,Summer,27.2,2,19.0,Rented,5333.4,405.34,36.21,E,0.0012,0.13,0.1
12,Winter,8.9,6,21.0,Owned,19608.6,693.99,219.43,A,0.0019,0.17,0.05
12,Winter,7.6,1,23.0,Rented,2842.6,174.47,44.67,C,0.0019,0.16,0.08
6,Summer,26.1,1,28.0,Rented,2959.8,198.11,19.1,B,0.0017,0.18,0.07
12,Winter,11.0,3,26.0,Rented,8693.1,422.65,117.31,A,0.0018,0.12,0.07
8,Summer,28.1,1,22.0,Rented,3216.7,203.19,18.09,B,0.0018,0.19,0.05
1,Winter,8.4,4,26.0,Rented,12628.9,481.22,164.06,B,0.0015,0.12,0.05
6,Summer,27.5,1,24.0,Rented,2858.0,229.6,22.08,A,0.0012,0.15,0.05
12,Winter,11.1,3,28.0,Rented,10398.9,666.87,133.22,A,0.0019,0.13,0.08
6,Summer,25.9,4,21.0,Rented,12070.0,622.6,74.36,B,0.002,0.19,0.08
7,Summer,28.4,6,25.0,Rented,17418.5,1210.74,119.12,D,0.0019,0.19,0.07
6,Summer,25.3,5,22.0,Rented,15861.7,534.05,118.02,C,0.0011,0.13,0.05
1,Winter,8.5,1,24.0,Rented,3533.0,189.37,49.12,B,0.0011,0.18,0.05
6,Summer,27.1,6,22.0,Owned,20523.9,1419.74,135.46,D,0.0017,0.12,0.06
6,Summer,27.7,1,22.0,Rented,3334.5,171.99,18.6,B,0.0015,0.14,0.05
12,Winter,10.2,6,25.0,Rented,20404.6,1090.5,222.7,B,0.0017,0.19,0.08
12,Winter,7.9,3,21.0,Rented,8004.5,585.92,120.8,B,0.0017,0.18,0.07
12,Winter,6.7,1,26.0,Rented,2939.3,149.73,40.9,C,0.002,0.2,0.09
12,Winter,13.2,3,25.0,Owned,10587.2,715.66,125.57,D,0.0012,0.19,0.08
2,Winter,7.6,3,22.0,Owned,10200.0,231.55,132.39,D,0.0011,0.16,0.1
7,Summer,29.6,5,21.0,Rented,17381.9,710.89,103.29,A,0.0012,0.15,0.06
7,Summer,29.8,6,24.0,Rented,20324.1,1016.15,142.02,B,0.0019,0.14,0.06
8,Summer,28.8,2,24.0,Rented,7018.2,145.17,35.96,B,0.0013,0.15,0.06
12,Winter,10.3,5,28.0,Owned,16712.6,719.79,164.17,A,0.0016,0.19,0.06
8,Summer,30.2,5,22.0,Rented,13968.2,870.58,129.67,B,0.0016,0.19,0.07
6,Summer,28.9,6,26.0,Rented,18635.0,1567.3,134.54,E,0.0011,0.14,0.08
2,Winter,7.0,4,26.0,Owned,13941.7,440.89,75.0,C,0.0018,0.14,0.08
1,Winter,8.2,6,22.0,Rented,17041.5,784.57,243.54,B,0.0012,0.16,0.07
12,Winter,12.8,2,28.0,Rented,6943.5,207.45,84.34,B,0.0016,0.16,0.06
2,Winter,11.9,2,25.0,Rented,6497.0,325.07,31.65,A,0.001,0.14,0.06
2,Winter,14.6,5,22.0,Rented,14562.2,868.71,224.96,B,0.0015,0.16,0.07
1,Winter,7.0,4,26.0,Rented,12537.3,336.66,139.93,B,0.0013,0.17,0.07
6,Summer,28.3,5,28.0,Rented,13690.2,1179.66,109.07,D,0.0014,0.17,0.08
1,Winter,8.1,5,28.0,Owned,18556.1,331.6,173.1,A,0.0019,0.16,0.06
7,Summer,29.5,2,24.0,Owned,7341.1,237.12,45.41,B,0.0018,0.18,0.09
6,Summer,28.9,5,20.0,Rented,15051.0,852.71,86.57,B,0.0014,0.17,0.1
2,Winter,12.6,5,22.0,Owned,18287.0,814.28,210.54,A,0.0019,0.12,0.06
12,Winter,8.7,4,22.0,Owned,12841.9,792.89,178.34,D,0.0016,0.12,0.1
7,Summer,28.6,3,26.0,Rented,10703.9,722.18,63.1,C,0.0019,0.17,0.08
7,Summer,28.9,5,26.0,Owned,18777.5,762.5,93.66,C,0.0013,0.14,0.06
8,Summer,29.2,3,21.0,Rented,8648.2,712.67,71.99,C,0.0017,0.19,0.08
8,Summer,24.3,1,22.0,Rented,3092.7,158.47,18.83,B,0.0019,0.15,0.08
1,Winter,10.5,2,19.0,Rented,5442.5,232.68,81.93,D,0.0017,0.19,0.1
12,Winter,6.6,6,26.0,Rented,18104.1,982.95,267.73,A,0.0016,0.18,0.06
12,Winter,8.3,1,23.0,Owned,3196.1,139.77,36.53,B,0.0019,0.15,0.06
1,Winter,10.2,6,25.0,Owned,19216.0,909.71,296.62,B,0.0018,0.2,0.08
2,Winter,11.1,5,21.0,Rented,15016.9,827.73,175.75,D,0.0012,0.2,0.09
12,Winter,8.9,3,28.0,Rented,9095.5,579.81,125.38,B,0.0017,0.2,0.09
7,Summer,25.4,1,22.0,Rented,2759.2,169.05,20.27,A,0.0012,0.16,0.06
2,Winter,12.9,5,22.0,Rented,15515.9,1102.79,53.89,D,0.0011,0.13,0.07
1,Winter,8.9,1,24.0,Rented,2799.7,110.48,46.44,C,0.0013,0.15,0.08
2,Winter,11.1,5,20.0,Rented,15489.8,676.14,218.18,A,0.0019,0.18,0.05
8,Summer,27.1,4,24.0,Rented,11710.4,645.81,71.94,A,0.0013,0.2,0.06
2,Winter,11.1,5,24.0,Rented,15499.2,776.47,195.1,D,0.0018,0.17,0.1
6,Summer,29.2,5,25.0,Owned,16627.2,1058.15,107.38,C,0.0017,0.15,0.07
2,Winter,12.2,1,26.0,Rented,2935.1,122.36,42.25,D,0.0019,0.2,0.06
12,Winter,9.6,6,23.0,Rented,19917.6,468.5,276.72,A,0.0015,0.15,0.09
2,Winter,10.0,6,22.0,Rented,17345.4,699.3,228.28,E,0.001,0.17,0.08
8,Summer,31.3,5,25.0,Rented,17506.8,1319.14,108.74,C,0.0015,0.14,0.09
7,Summer,30.5,4,26.0,Rented,12830.8,623.83,70.64,B,0.0018,0.19,0.07
1,Winter,6.2,2,26.0,Rented,6464.7,400.13,76.57,C,0.0015,0.19,0.09
